id,degree,community,component
Israell Muniz,8,25,1
COTERIE,0,264,213
aisu,7,21,1
Leo王,11,20,1
何夏,0,265,214
Eix,72,7,1
T2R,15,43,1
Bodø Domkor,19,9,1
King Gunna,3,266,215
Neves17,13,4,1
Daryl Braithwaite,2,33,1
GENT,15,2,1
Parari,0,267,216
Alecc,12,46,1
Tom Odell,21,3,1
Kate Ryan,29,39,1
Astro 全体艺人,0,268,217
James Curd,114,3,1
Alma Zohar,4,40,1
VERBEE,6,6,1
Josh Jips,0,269,218
Ilian,13,116,1
Avril Lavigne,22,18,1
Zouhair Bahaoui,4,43,1
Rae Morris,24,3,1
Pepe Frantik,20,46,1
Överi,2,37,1
حلقولو,10,27,1
演唱：蘇打綠,0,270,219
Arva,32,46,1
Enzo Dong,35,4,1
Urszula,2,11,1
Franco126,23,4,1
KUUMAA,2,37,1
Berry,1,271,220
Gram-Of-Fun,13,16,1
Lumevärv,2,16,1
Editors,9,3,1
Lil Karlix,2,272,221
Lou Reed,15,33,1
Mastachi,18,12,1
Dhika Fawaz,1,273,222
三浦春馬,0,274,223
Egill Stolz,2,14,1
Mr. P,2,275,224
Ultrazvuk,9,77,1
Casper Magico,102,7,1
Calibre 50,32,114,1
Eden Alene,14,40,1
Greekazo,19,1,1
Dante YN,4,2,1
Njelic,16,76,1
Reggaetones,0,276,225
Gente De Zona,84,7,1
Specktors,15,17,1
Efta,10,46,1
鳥屎,4,20,1
Jan Malmsjö,8,9,1
Die Heuwels Fantasties,50,76,1
Paul Rosenberg,0,277,226
Colorblast,9,5,1
Dave Zulueta,4,7,1
Mats Olin,0,278,227
H.I.N.P (Hot Issue of Ntl. Producers),0,279,228
Monik,8,18,1
MARY,1,280,229
Avelino,47,3,1
Bahadır Sağlam,0,281,230
Billy Sio,22,46,1
furkanxrd77,0,282,231
Michel Cleis,25,3,1
Kenji Wu,10,20,1
Los Tucanes De Tijuana,10,7,1
Cazu,2,283,232
WEEDMANE,10,193,1
Montaigne,10,82,1
Elissa,3,43,1
K/DA,13,18,1
Jl Bout-It,3,284,233
Eve Ai,13,20,1
Shekina Reality,6,7,1
Nelly,129,18,1
Anaïs Delva,3,285,234
Abel Pintos,33,7,1
The Proclaimers,3,286,1
No.1,0,287,235
Ovall,34,45,1
Troll,1,1,1
Arco,3,4,1
Jabbar,4,5,1
Made Of Snow,6,288,1
Nicholas Teo,0,289,236
Baloosh,6,17,1
Mauri Mansilla,40,7,1
